Tgl,x
2005-01-01,0
2005-01-02,6
2005-01-03,0
2005-01-04,10
2005-01-05,4
2005-01-06,6
2005-01-07,0
2005-01-08,26
2005-01-09,4
2005-01-10,2
2005-01-11,0
2005-01-12,24
2005-01-13,5
2005-01-14,77
2005-01-15,2
2005-01-16,30
2005-01-17,70
2005-01-18,16
2005-01-19,45
2005-01-20,18
2005-01-21,30
2005-01-22,58
2005-01-23,14
2005-01-24,40
2005-01-25,0
2005-01-26,1
2005-01-27,29
2005-01-28,0
2005-01-29,9
2005-01-30,0
2005-01-31,0
2005-02-01,9
2005-02-02,0
2005-02-03,0
2005-02-04,13
2005-02-05,0
2005-02-06,4
2005-02-07,16
2005-02-08,12
2005-02-09,2
2005-02-10,13
2005-02-11,40
2005-02-12,73
2005-02-13,16
2005-02-14,2
2005-02-15,0
2005-02-16,16
2005-02-17,40
2005-02-18,11
2005-02-19,15
2005-02-20,76
2005-02-21,12
2005-02-22,13
2005-02-23,98
2005-02-24,28
2005-02-25,42
2005-02-26,3
2005-02-27,18
2005-02-28,54
2005-03-01,40
2005-03-02,22
2005-03-03,0
2005-03-04,19
2005-03-05,40
2005-03-06,60
2005-03-07,6
2005-03-08,12
2005-03-09,29
2005-03-10,10
2005-03-11,0
2005-03-12,2
2005-03-13,6
2005-03-14,4
2005-03-15,0
2005-03-16,11
2005-03-17,4
2005-03-18,10
2005-03-19,15
2005-03-20,0
2005-03-21,0
2005-03-22,15
2005-03-23,18
2005-03-24,28
2005-03-25,6
2005-03-26,0
2005-03-27,28
2005-03-28,6
2005-03-29,18
2005-03-30,18
2005-03-31,14
2005-04-01,0
2005-04-02,0
2005-04-03,0
2005-04-04,22
2005-04-05,0
2005-04-06,0
2005-04-07,12
2005-04-08,0
2005-04-09,1
2005-04-10,1
2005-04-11,6
2005-04-12,0
2005-04-13,6
2005-04-14,20
2005-04-15,10
2005-04-16,7
2005-04-17,2
2005-04-18,0
2005-04-19,0
2005-04-20,0
2005-04-21,53
2005-04-22,0
2005-04-23,1
2005-04-24,0
2005-04-25,0
2005-04-26,10
2005-04-27,0
2005-04-28,5
2005-04-29,1
2005-04-30,0
2005-05-01,0
2005-05-02,1
2005-05-03,0
2005-05-04,0
2005-05-05,45
2005-05-06,18
2005-05-07,5
2005-05-08,0
2005-05-09,0
2005-05-10,0
2005-05-11,36
2005-05-12,31
2005-05-13,0
2005-05-14,0
2005-05-15,72
2005-05-16,1
2005-05-17,0
2005-05-18,0
2005-05-19,0
2005-05-20,0
2005-05-21,0
2005-05-22,0
2005-05-23,0
2005-05-24,0
2005-05-25,3
2005-05-26,0
2005-05-27,0
2005-05-28,0
2005-05-29,0
2005-05-30,0
2005-05-31,0
2005-06-01,0
2005-06-02,12
2005-06-03,32
2005-06-04,2
2005-06-05,35
2005-06-06,21
2005-06-07,8
2005-06-08,3
2005-06-09,0
2005-06-10,0
2005-06-11,0
2005-06-12,1
2005-06-13,6
2005-06-14,47
2005-06-15,48
2005-06-16,0
2005-06-17,0
2005-06-18,0
2005-06-19,0
2005-06-20,20
2005-06-21,12
2005-06-22,8
2005-06-23,7
2005-06-24,17
2005-06-25,16
2005-06-26,0
2005-06-27,0
2005-06-28,5
2005-06-29,6
2005-06-30,0
2005-07-01,1
2005-07-02,0
2005-07-03,0
2005-07-04,0
2005-07-05,0
2005-07-06,8
2005-07-07,7
2005-07-08,0
2005-07-09,0
2005-07-10,10
2005-07-11,16
2005-07-12,14
2005-07-13,0
2005-07-14,0
2005-07-15,6
2005-07-16,62
2005-07-17,12
2005-07-18,0
2005-07-19,0
2005-07-20,20
2005-07-21,1
2005-07-22,6
2005-07-23,0
2005-07-24,0
2005-07-25,0
2005-07-26,0
2005-07-27,0
2005-07-28,1
2005-07-29,4
2005-07-30,1
2005-07-31,NA
2005-08-01,13
2005-08-02,10
2005-08-03,3
2005-08-04,0
2005-08-05,0
2005-08-06,0
2005-08-07,0
2005-08-08,0
2005-08-09,1
2005-08-10,20
2005-08-11,0
2005-08-12,1
2005-08-13,0
2005-08-14,0
2005-08-15,0
2005-08-16,0
2005-08-17,63
2005-08-18,24
2005-08-19,0
2005-08-20,0
2005-08-21,14
2005-08-22,0
2005-08-23,0
2005-08-24,0
2005-08-25,0
2005-08-26,0
2005-08-27,0
2005-08-28,0
2005-08-29,0
2005-08-30,0
2005-08-31,0
2005-09-01,0
2005-09-02,0
2005-09-03,0
2005-09-04,0
2005-09-05,0
2005-09-06,0
2005-09-07,20
2005-09-08,15
2005-09-09,0
2005-09-10,0
2005-09-11,0
2005-09-12,0
2005-09-13,3
2005-09-14,6
2005-09-15,34
2005-09-16,28
2005-09-17,1
2005-09-18,23
2005-09-19,0
2005-09-20,48
2005-09-21,47
2005-09-22,30
2005-09-23,2
2005-09-24,0
2005-09-25,31
2005-09-26,0
2005-09-27,0
2005-09-28,0
2005-09-29,0
2005-09-30,24
2005-10-01,0
2005-10-02,0
2005-10-03,9
2005-10-04,5
2005-10-05,1
2005-10-06,0
2005-10-07,0
2005-10-08,0
2005-10-09,0
2005-10-10,0
2005-10-11,2
2005-10-12,59
2005-10-13,15
2005-10-14,4
2005-10-15,14
2005-10-16,7
2005-10-17,0
2005-10-18,5
2005-10-19,0
2005-10-20,0
2005-10-21,1
2005-10-22,10
2005-10-23,24
2005-10-24,0
2005-10-25,0
2005-10-26,0
2005-10-27,5
2005-10-28,0
2005-10-29,0
2005-10-30,3
2005-10-31,30
2005-11-01,3
2005-11-02,1
2005-11-03,0
2005-11-04,35
2005-11-05,1
2005-11-06,20
2005-11-07,20
2005-11-08,0
2005-11-09,5
2005-11-10,0
2005-11-11,36
2005-11-12,0
2005-11-13,2
2005-11-14,3
2005-11-15,0
2005-11-16,0
2005-11-17,0
2005-11-18,0
2005-11-19,5
2005-11-20,50
2005-11-21,0
2005-11-22,0
2005-11-23,4
2005-11-24,0
2005-11-25,33
2005-11-26,4
2005-11-27,0
2005-11-28,46
2005-11-29,29
2005-11-30,9
2005-12-01,23
2005-12-02,0
2005-12-03,0
2005-12-04,2
2005-12-05,0
2005-12-06,0
2005-12-07,28
2005-12-08,14
2005-12-09,12
2005-12-10,15
2005-12-11,11
2005-12-12,10
2005-12-13,16
2005-12-14,31
2005-12-15,16
2005-12-16,0
2005-12-17,22
2005-12-18,5
2005-12-19,25
2005-12-20,0
2005-12-21,0
2005-12-22,41
2005-12-23,0
2005-12-24,18
2005-12-25,20
2005-12-26,0
2005-12-27,3
2005-12-28,7
2005-12-29,6
2005-12-30,2
2005-12-31,0
