"","tanggal","x"
"731",2008-01-01,83
"730",2008-01-02,24
"727",2008-01-03,68
"726",2008-01-04,13
"724",2008-01-05,2
"723",2008-01-06,2
"720",2008-01-07,NA
"719",2008-01-08,0
"717",2008-01-09,0
"715",2008-01-10,0
"711",2008-01-11,0
"710",2008-01-12,0
"707",2008-01-13,2
"705",2008-01-14,15
"703",2008-01-15,3
"702",2008-01-16,0
"700",2008-01-17,0
"699",2008-01-18,0
"697",2008-01-19,0
"696",2008-01-20,0
"695",2008-01-21,0
"693",2008-01-22,2
"691",2008-01-23,14
"689",2008-01-24,0
"688",2008-01-25,0
"690",2008-01-26,15
"687",2008-01-27,25
"685",2008-01-28,31
"684",2008-01-29,11
"683",2008-01-30,57
"682",2008-01-31,NA
"680",2008-02-01,7
"714",2008-02-02,74
"678",2008-02-03,0
"676",2008-02-04,5
"673",2008-02-05,0
"672",2008-02-06,10
"671",2008-02-07,12
"670",2008-02-08,43
"669",2008-02-09,40
"668",2008-02-10,30
"667",2008-02-11,21
"664",2008-02-12,5
"713",2008-02-13,37
"661",2008-02-14,8
"659",2008-02-15,83
"658",2008-02-16,5
"657",2008-02-17,20
"656",2008-02-18,41
"655",2008-02-19,25
"652",2008-02-20,19
"651",2008-02-21,20
"650",2008-02-22,37
"647",2008-02-23,24
"645",2008-02-24,9
"644",2008-02-25,6
"643",2008-02-26,6
"641",2008-02-27,31
"638",2008-02-28,18
"635",2008-02-29,0
"634",2008-03-01,15
"632",2008-03-02,0
"630",2008-03-03,45
"628",2008-03-04,17
"627",2008-03-05,26
"626",2008-03-06,0
"623",2008-03-07,49
"622",2008-03-08,6
"619",2008-03-09,28
"618",2008-03-10,49
"617",2008-03-11,23
"616",2008-03-12,13
"614",2008-03-13,110
"613",2008-03-14,13
"610",2008-03-15,3
"609",2008-03-16,3
"608",2008-03-17,3
"605",2008-03-18,35
"601",2008-03-19,6
"600",2008-03-20,59
"599",2008-03-21,5
"597",2008-03-22,0
"595",2008-03-23,4
"592",2008-03-24,3
"591",2008-03-25,2
"590",2008-03-26,2
"589",2008-03-27,0
"701",2008-03-28,5
"586",2008-03-29,1
"585",2008-03-30,0
"584",2008-03-31,0
"579",2008-04-01,0
"578",2008-04-02,0
"577",2008-04-03,0
"576",2008-04-04,0
"575",2008-04-05,0
"573",2008-04-06,5
"712",2008-04-07,38
"572",2008-04-08,27
"569",2008-04-09,57
"568",2008-04-10,68
"567",2008-04-11,4
"565",2008-04-12,5
"563",2008-04-13,4
"561",2008-04-14,0
"559",2008-04-15,22
"558",2008-04-16,5
"556",2008-04-17,11
"555",2008-04-18,0
"553",2008-04-19,33
"551",2008-04-20,1
"549",2008-04-21,52
"547",2008-04-22,35
"546",2008-04-23,19
"545",2008-04-24,0
"543",2008-04-25,0
"542",2008-04-26,0
"541",2008-04-27,7
"539",2008-04-28,0
"538",2008-04-29,0
"536",2008-04-30,0
"534",2008-05-01,0
"660",2008-05-02,0
"533",2008-05-03,11
"531",2008-05-04,5
"530",2008-05-05,1
"527",2008-05-06,4
"526",2008-05-07,106
"523",2008-05-08,3
"521",2008-05-09,0
"519",2008-05-10,0
"517",2008-05-11,0
"516",2008-05-12,0
"515",2008-05-13,0
"513",2008-05-14,43
"512",2008-05-15,0
"722",2008-05-16,0
"511",2008-05-17,0
"510",2008-05-18,0
"509",2008-05-19,0
"508",2008-05-20,0
"604",2008-05-21,56
"507",2008-05-22,4
"506",2008-05-23,21
"503",2008-05-24,0
"502",2008-05-25,10
"500",2008-05-26,0
"499",2008-05-27,15
"583",2008-05-28,0
"495",2008-05-29,0
"494",2008-05-30,0
"492",2008-05-31,0
"491",2008-06-01,0
"582",2008-06-02,0
"490",2008-06-03,0
"489",2008-06-04,0
"486",2008-06-05,3
"484",2008-06-06,4
"483",2008-06-07,0
"482",2008-06-08,0
"478",2008-06-09,0
"477",2008-06-10,16
"629",2008-06-11,29
"475",2008-06-12,0
"474",2008-06-13,0
"472",2008-06-14,0
"470",2008-06-15,0
"469",2008-06-16,2
"468",2008-06-17,8
"467",2008-06-18,8
"465",2008-06-19,0
"463",2008-06-20,0
"462",2008-06-21,0
"460",2008-06-22,0
"458",2008-06-23,0
"456",2008-06-24,0
"454",2008-06-25,0
"581",2008-06-26,0
"453",2008-06-27,0
"451",2008-06-28,9
"450",2008-06-29,0
"485",2008-06-30,16
"448",2008-07-01,0
"446",2008-07-02,0
"442",2008-07-03,0
"441",2008-07-04,0
"440",2008-07-05,0
"439",2008-07-06,0
"438",2008-07-07,0
"566",2008-07-08,0
"437",2008-07-09,0
"435",2008-07-10,0
"434",2008-07-11,0
"433",2008-07-12,0
"431",2008-07-13,0
"430",2008-07-14,0
"429",2008-07-15,0
"428",2008-07-16,0
"427",2008-07-17,0
"426",2008-07-18,0
"424",2008-07-19,0
"537",2008-07-20,0
"423",2008-07-21,0
"422",2008-07-22,0
"421",2008-07-23,0
"420",2008-07-24,2
"418",2008-07-25,0
"417",2008-07-26,0
"416",2008-07-27,0
"415",2008-07-28,0
"412",2008-07-29,0
"409",2008-07-30,0
"594",2008-07-31,0
"407",2008-08-01,4
"406",2008-08-02,6
"540",2008-08-03,41
"405",2008-08-04,0
"404",2008-08-05,0
"401",2008-08-06,0
"400",2008-08-07,0
"399",2008-08-08,0
"398",2008-08-09,0
"396",2008-08-10,0
"501",2008-08-11,0
"557",2008-08-12,10
"395",2008-08-13,44
"633",2008-08-14,0
"393",2008-08-15,0
"392",2008-08-16,0
"391",2008-08-17,0
"389",2008-08-18,0
"387",2008-08-19,0
"386",2008-08-20,0
"385",2008-08-21,0
"384",2008-08-22,0
"383",2008-08-23,0
"382",2008-08-24,1
"380",2008-08-25,0
"378",2008-08-26,0
"377",2008-08-27,0
"376",2008-08-28,0
"675",2008-08-29,0
"375",2008-08-30,5
"373",2008-08-31,4
"372",2008-09-01,18
"371",2008-09-02,1
"370",2008-09-03,0
"369",2008-09-04,0
"367",2008-09-05,0
"631",2008-09-06,0
"725",2008-09-07,0
"615",2008-09-08,0
"366",2008-09-09,14
"364",2008-09-10,6
"363",2008-09-11,1
"360",2008-09-12,0
"359",2008-09-13,0
"358",2008-09-14,0
"357",2008-09-15,0
"354",2008-09-16,0
"520",2008-09-17,7
"554",2008-09-18,0
"352",2008-09-19,0
"351",2008-09-20,0
"598",2008-09-21,0
"464",2008-09-22,0
"350",2008-09-23,0
"349",2008-09-24,0
"348",2008-09-25,0
"346",2008-09-26,0
"345",2008-09-27,0
"343",2008-09-28,0
"342",2008-09-29,0
"341",2008-09-30,0
"340",2008-10-01,31
"339",2008-10-02,4
"338",2008-10-03,3
"336",2008-10-04,0
"335",2008-10-05,25
"333",2008-10-06,0
"330",2008-10-07,0
"329",2008-10-08,0
"327",2008-10-09,1
"326",2008-10-10,0
"323",2008-10-11,0
"649",2008-10-12,0
"322",2008-10-13,0
"319",2008-10-14,0
"318",2008-10-15,5
"317",2008-10-16,0
"315",2008-10-17,14
"344",2008-10-18,34
"419",2008-10-19,0
"313",2008-10-20,3
"312",2008-10-21,0
"311",2008-10-22,0
"310",2008-10-23,13
"309",2008-10-24,30
"307",2008-10-25,0
"306",2008-10-26,0
"304",2008-10-27,11
"303",2008-10-28,0
"301",2008-10-29,43
"332",2008-10-30,0
