,x,y,hujan_titik_all.1,hujan_titik_all.2,hujan_titik_all.3,hujan_titik_all.4
1,106.683103490611,-6.4215256038,103,164,204,255
2,106.732955105389,-6.4215256038,160,188,217,255
3,106.782806720167,-6.4215256038,170,192,220,255
4,106.982213179278,-6.4215256038,33,127,177,255
5,107.032064794056,-6.4215256038,29,123,173,255
6,106.882509949722,-6.47114407486667,96,161,202,255
7,106.732955105389,-6.52076254593333,91,159,201,255
8,106.533548646278,-6.570381017,54,144,192,255
9,106.732955105389,-6.570381017,165,190,219,255
10,106.633251875833,-6.61999948806667,50,143,191,255
11,106.782806720167,-6.61999948806667,113,168,206,255
12,107.131768023611,-6.61999948806667,124,172,209,255
13,106.782806720167,-6.7192364302,132,176,211,255
