USAF	NAME	LAT	LON	ELEV(M)	BEGIN	END
967390	TANGERANG/BUDIARTO ARPT	-6.3	106.567	46	11/01/52	08/16/18
967490	SOEKARNO HATTA INTL	-6.126	106.656	10.4	04/02/85	08/16/18
967429	SOEKARNO HATA INTL	-6.15	106.717	0	12/01/85	07/01/90
967530	BOGOR/DERMAGA	-6.5	106.75	250	03/13/73	02/19/05
967450	JAKARTA/OBSERVATORY	-6.183	106.833	8	01/01/42	08/16/18
967430	JAKARTA/KEMAYORAN	-6.15	106.85	5	01/01/57	03/30/87
967431	KEMAYORAN	-6.15	106.85	5	01/01/49	12/31/56
967410	JAKARTA/TANJUNG PRIOK	-6.1	106.867	2	01/04/73	08/16/18
967470	HALIM PERDANAKUSUMA INTL	-6.267	106.891	26	01/01/46	07/18/06
967495	HALIM PERDANAKUSUMA INTL	-6.267	106.891	25.6	01/05/05	08/16/18
967550	BOGOR/ATANG SANJAYA	-6.55	106.9	171	04/01/50	02/18/05
967510	BOGOR/CITEKO	-6.7	106.933	920	04/01/93	08/16/18
