USAF	NAME	LAT	LON	ELEV(M)	BEGIN	END
967390	TANGERANG/BUDIARTO ARPT	-6,3	106,567	46	01/11/52	16/08/18
967490	SOEKARNO HATTA INTL	-6,126	106,656	10,4	02/04/85	16/08/18
967429	SOEKARNO HATA INTL	-6,15	106,717	0	01/12/85	01/07/90
967530	BOGOR/DERMAGA	-6,5	106,75	250	13/03/73	19/02/05
967450	JAKARTA/OBSERVATORY	-6,183	106,833	8	01/01/42	16/08/18
967430	JAKARTA/KEMAYORAN	-6,15	106,85	5	01/01/57	30/03/87
967431	KEMAYORAN	-6,15	106,85	5	01/01/49	31/12/56
967410	JAKARTA/TANJUNG PRIOK	-6,1	106,867	2	04/01/73	16/08/18
967470	HALIM PERDANAKUSUMA INTL	-6,267	106,891	26	01/01/46	18/07/06
967495	HALIM PERDANAKUSUMA INTL	-6,267	106,891	25,6	05/01/05	16/08/18
967550	BOGOR/ATANG SANJAYA	-6,55	106,9	171	01/04/50	18/02/05
967510	BOGOR/CITEKO	-6,7	106,933	920	01/04/93	16/08/18
