"","sta","lat","lon","alt"
"1","Cigudeg",-6.5528,106.5386,373
"2","Cihideung Udik",-6.5936,106.7183,227
"3","Darmaga",-6.5,106.75,133
"4","Dayeuh / Sukanegara",-6.6089,107.1476,146
"5","Depok",-6.4053,106.7559,92
"6","Empang",-6.6117,106.7914,267
"7","Katulampa",-6.6006,106.8058,269
"8","Klapanunggal",-6.4143,106.9621,80
"9","Kranji",-6.46,106.86,121
"10","Pasir Jaya (Pondok Gedeh)",-6.7283,106.7953,517
"11","Perk. Kahuripan",-6.446,106.6912,100
"12","PLTA Kracak",-6.6169,106.6441,282
"13","Tanjung Sari / Cibeet (Tunggilis)",-6.4197,107.0311,62
"14","Ranca Bungur (Cimulang)",-6.5259,106.7166,146
